Area,Gu,Dong,Count,Centroid
광진구 중곡동,광진구,중곡동,3,POINT (127.08883031866844 37.563544000076945)
광진구 능동,광진구,능동,0,POINT (127.08173826724946 37.55057864499416)
광진구 구의동,광진구,구의동,34,POINT (127.09284406864354 37.54440134218013)
광진구 광장동,광진구,광장동,35,POINT (127.10471502608321 37.54782416243169)
광진구 자양동,광진구,자양동,84,POINT (127.07451564376686 37.53169197494678)
광진구 화양동,광진구,화양동,8,POINT (127.07322064961822 37.54323207716675)
광진구 군자동,광진구,군자동,12,POINT (127.07367288831027 37.553033766153476)
동대문구 신설동,동대문구,신설동,1,POINT (127.02555337973364 37.57494732818002)
동대문구 용두동,동대문구,용두동,18,POINT (127.03428849557481 37.57572123650769)
동대문구 제기동,동대문구,제기동,11,POINT (127.03723939892927 37.58377503570868)
동대문구 전농동,동대문구,전농동,24,POINT (127.05570456862795 37.579747161089806)
동대문구 답십리동,동대문구,답십리동,65,POINT (127.05669745093984 37.57101846405988)
동대문구 장안동,동대문구,장안동,60,POINT (127.07002468144262 37.57020792078594)
동대문구 청량리동,동대문구,청량리동,4,POINT (127.04528052133615 37.58880316106828)
동대문구 회기동,동대문구,회기동,5,POINT (127.05145341303071 37.59374367529425)
동대문구 휘경동,동대문구,휘경동,35,POINT (127.06452568472331 37.58821056434634)
동대문구 이문동,동대문구,이문동,31,POINT (127.06325020029257 37.599458371331856)
중랑구 면목동,중랑구,면목동,80,POINT (127.08922116305449 37.58237775145745)
중랑구 상봉동,중랑구,상봉동,32,POINT (127.08712019966096 37.59847667896004)
중랑구 중화동,중랑구,중화동,13,POINT (127.07814704859764 37.600501740362105)
중랑구 묵동,중랑구,묵동,65,POINT (127.0797688986615 37.61272364817883)
중랑구 망우동,중랑구,망우동,27,POINT (127.10633282681103 37.599579083864484)
중랑구 신내동,중랑구,신내동,63,POINT (127.10080859426081 37.6126013975999)
성북구 성북동,성북구,성북동,1,POINT (126.99290198091266 37.597237530177374)
성북구 성북동1가,성북구,성북동1가,0,POINT (127.00370226441031 37.5895406225565)
성북구 돈암동,성북구,돈암동,70,POINT (127.01828425465119 37.59779605195016)
성북구 동소문동1가,성북구,동소문동1가,0,POINT (127.00727297418625 37.59003556576006)
성북구 동소문동2가,성북구,동소문동2가,0,POINT (127.00826434127949 37.588720257122205)
성북구 동소문동3가,성북구,동소문동3가,0,POINT (127.01125316409531 37.590386778084536)
성북구 동소문동4가,성북구,동소문동4가,6,POINT (127.01065572116649 37.59175669211209)
성북구 동소문동5가,성북구,동소문동5가,1,POINT (127.01538630315314 37.59163896970493)
성북구 동소문동6가,성북구,동소문동6가,0,POINT (127.01425527794204 37.59353116697925)
성북구 동소문동7가,성북구,동소문동7가,4,POINT (127.0141976868629 37.59632567612976)
성북구 삼선동1가,성북구,삼선동1가,0,POINT (127.00789315094468 37.584912586155305)
성북구 삼선동2가,성북구,삼선동2가,15,POINT (127.01137917922914 37.58387686868956)
성북구 삼선동3가,성북구,삼선동3가,2,POINT (127.01307638314057 37.586542428946736)
성북구 삼선동4가,성북구,삼선동4가,2,POINT (127.01316739326438 37.590024376581404)
성북구 삼선동5가,성북구,삼선동5가,0,POINT (127.0158775541322 37.58854044189373)
성북구 동선동1가,성북구,동선동1가,0,POINT (127.01823548271383 37.59231357379897)
성북구 동선동2가,성북구,동선동2가,0,POINT (127.02002132462125 37.59017863680035)
